review_text,review_rating,brand_name,product_title,cleaned_text,tokens,tokens_no_stopwords,lemmatized_tokens,processed_text
Don’t buy. You have to do lots of struggle to see the effect. Waste of money.,1.0,Lakme,Lakme Face Sheer Blusher,don t buy you have to do lots of struggle to see the effect waste of money,"['don', 't', 'buy', 'you', 'have', 'to', 'do', 'lots', 'of', 'struggle', 'to', 'see', 'the', 'effect', 'waste', 'of', 'money']","['buy', 'lots', 'struggle', 'see', 'effect', 'waste', 'money']","['buy', 'lot', 'struggle', 'see', 'effect', 'waste', 'money']",buy lot struggle see effect waste money
i had bought this product i the shade whos the boss..107....and believe me guys this colour is just amazing.....i am in love with this product...the texture is also very good ...it gives a very sexy look ....i recommend all girls to atleast buy it once..i am damm sure that you too will love it..thankyou .,5.0,L'Oreal Paris,L'Oreal Paris Infallible Mega Gloss,i had bought this product i the shade whos the boss and believe me guys this colour is just amazing i am in love with this product the texture is also very good it gives a very sexy look i recommend all girls to atleast buy it once i am damm sure that you too will love it thankyou,"['i', 'had', 'bought', 'this', 'product', 'i', 'the', 'shade', 'whos', 'the', 'boss', 'and', 'believe', 'me', 'guys', 'this', 'colour', 'is', 'just', 'amazing', 'i', 'am', 'in', 'love', 'with', 'this', 'product', 'the', 'texture', 'is', 'also', 'very', 'good', 'it', 'gives', 'a', 'very', 'sexy', 'look', 'i', 'recommend', 'all', 'girls', 'to', 'atleast', 'buy', 'it', 'once', 'i', 'am', 'damm', 'sure', 'that', 'you', 'too', 'will', 'love', 'it', 'thankyou']","['bought', 'product', 'shade', 'whos', 'boss', 'believe', 'guys', 'colour', 'amazing', 'love', 'product', 'texture', 'also', 'good', 'gives', 'sexy', 'look', 'recommend', 'girls', 'atleast', 'buy', 'damm', 'sure', 'love', 'thankyou']","['bought', 'product', 'shade', 'who', 'bos', 'believe', 'guy', 'colour', 'amazing', 'love', 'product', 'texture', 'also', 'good', 'give', 'sexy', 'look', 'recommend', 'girl', 'atleast', 'buy', 'damm', 'sure', 'love', 'thankyou']",bought product shade who bos believe guy colour amazing love product texture also good give sexy look recommend girl atleast buy damm sure love thankyou
Very good 👍😊,5.0,Kay Beauty,Kay Beauty Matte Compact,very good,"['very', 'good']",['good'],['good'],good
If you want natural loo and awesome coverage. I just loved it.,5.0,Lakme,Lakme Absolute Argan Oil Serum Foundation With SPF 45,if you want natural loo and awesome coverage i just loved it,"['if', 'you', 'want', 'natural', 'loo', 'and', 'awesome', 'coverage', 'i', 'just', 'loved', 'it']","['want', 'natural', 'loo', 'awesome', 'coverage', 'loved']","['want', 'natural', 'loo', 'awesome', 'coverage', 'loved']",want natural loo awesome coverage loved
And go for medium skin tone,5.0,Kay Beauty,Kay Beauty Illuminating Highlighter,and go for medium skin tone,"['and', 'go', 'for', 'medium', 'skin', 'tone']","['go', 'medium', 'skin', 'tone']","['go', 'medium', 'skin', 'tone']",go medium skin tone
It's so lightweight and it's very easily a very good texturecture that doesn't make you cry,5.0,Kay Beauty,Kay Beauty Colour Corrector Stick,it s so lightweight and it s very easily a very good texturecture that doesn t make you cry,"['it', 's', 'so', 'lightweight', 'and', 'it', 's', 'very', 'easily', 'a', 'very', 'good', 'texturecture', 'that', 'doesn', 't', 'make', 'you', 'cry']","['lightweight', 'easily', 'good', 'texturecture', 'make', 'cry']","['lightweight', 'easily', 'good', 'texturecture', 'make', 'cry']",lightweight easily good texturecture make cry
I use sponge side..!!...and its quite good!!?,4.0,Maybelline New York,Maybelline New York Fashion Brow Duo Shaper,i use sponge side and its quite good,"['i', 'use', 'sponge', 'side', 'and', 'its', 'quite', 'good']","['use', 'sponge', 'side', 'quite', 'good']","['use', 'sponge', 'side', 'quite', 'good']",use sponge side quite good
It will be light when you apply but the colour change to dark brown in some seconds,5.0,Kay Beauty,Kay Beauty Quick Dry Liquid Eyeliner,it will be light when you apply but the colour change to dark brown in some seconds,"['it', 'will', 'be', 'light', 'when', 'you', 'apply', 'but', 'the', 'colour', 'change', 'to', 'dark', 'brown', 'in', 'some', 'seconds']","['light', 'apply', 'colour', 'change', 'dark', 'brown', 'seconds']","['light', 'apply', 'colour', 'change', 'dark', 'brown', 'second']",light apply colour change dark brown second
This shade is very unique and everybody arround asked for this one.very smooth to apply and stay is 2-3 hours.,5.0,Nykaa Cosmetics,Nykaa Paintstix! Waterproof Matte Lipstick - Flower Power,this shade is very unique and everybody arround asked for this one very smooth to apply and stay is hours,"['this', 'shade', 'is', 'very', 'unique', 'and', 'everybody', 'arround', 'asked', 'for', 'this', 'one', 'very', 'smooth', 'to', 'apply', 'and', 'stay', 'is', 'hours']","['shade', 'unique', 'everybody', 'arround', 'asked', 'one', 'smooth', 'apply', 'stay', 'hours']","['shade', 'unique', 'everybody', 'arround', 'asked', 'one', 'smooth', 'apply', 'stay', 'hour']",shade unique everybody arround asked one smooth apply stay hour
Best product i love it thank u nykaa,5.0,Nykaa Cosmetics,Nykaa Strobe & Glow Liquid Highlighter,best product i love it thank u nykaa,"['best', 'product', 'i', 'love', 'it', 'thank', 'u', 'nykaa']","['best', 'product', 'love', 'thank', 'u', 'nykaa']","['best', 'product', 'love', 'thank', 'u', 'nykaa']",best product love thank u nykaa
"Must buy this! Because of shimmer, it becomes more attractive. Quality is also better at this price.",5.0,Nykaa Cosmetics,Nykaa Bling It On Pouch,must buy this because of shimmer it becomes more attractive quality is also better at this price,"['must', 'buy', 'this', 'because', 'of', 'shimmer', 'it', 'becomes', 'more', 'attractive', 'quality', 'is', 'also', 'better', 'at', 'this', 'price']","['must', 'buy', 'shimmer', 'becomes', 'attractive', 'quality', 'also', 'better', 'price']","['must', 'buy', 'shimmer', 'becomes', 'attractive', 'quality', 'also', 'better', 'price']",must buy shimmer becomes attractive quality also better price
Classy pouch,5.0,Nykaa Cosmetics,Nykaa Bling It On Pouch,classy pouch,"['classy', 'pouch']","['classy', 'pouch']","['classy', 'pouch']",classy pouch
Smooth and light on the skin,5.0,Kay Beauty,Kay Beauty Hydrating Foundation,smooth and light on the skin,"['smooth', 'and', 'light', 'on', 'the', 'skin']","['smooth', 'light', 'skin']","['smooth', 'light', 'skin']",smooth light skin
"I am obsessed with this shade Faux Pass. It's a very very pretty, slightly cool tone brown nude. I use it almost everyday. It's a bit similar to Papp-ed which is a warmer brown but looks similar on my lips. Definitely buy these",5.0,Kay Beauty,Kay Beauty Matteinee Matte Lip Crayon Lipstick,i am obsessed with this shade faux pass it s a very very pretty slightly cool tone brown nude i use it almost everyday it s a bit similar to papp ed which is a warmer brown but looks similar on my lips definitely buy these,"['i', 'am', 'obsessed', 'with', 'this', 'shade', 'faux', 'pass', 'it', 's', 'a', 'very', 'very', 'pretty', 'slightly', 'cool', 'tone', 'brown', 'nude', 'i', 'use', 'it', 'almost', 'everyday', 'it', 's', 'a', 'bit', 'similar', 'to', 'papp', 'ed', 'which', 'is', 'a', 'warmer', 'brown', 'but', 'looks', 'similar', 'on', 'my', 'lips', 'definitely', 'buy', 'these']","['obsessed', 'shade', 'faux', 'pass', 'pretty', 'slightly', 'cool', 'tone', 'brown', 'nude', 'use', 'almost', 'everyday', 'bit', 'similar', 'papp', 'ed', 'warmer', 'brown', 'looks', 'similar', 'lips', 'definitely', 'buy']","['obsessed', 'shade', 'faux', 'pas', 'pretty', 'slightly', 'cool', 'tone', 'brown', 'nude', 'use', 'almost', 'everyday', 'bit', 'similar', 'papp', 'ed', 'warmer', 'brown', 'look', 'similar', 'lip', 'definitely', 'buy']",obsessed shade faux pas pretty slightly cool tone brown nude use almost everyday bit similar papp ed warmer brown look similar lip definitely buy
I was very curious to try the corrector on a stick as earlier I had used the liquid one. And I have to say that I was super impressed as the application is so easy and this blends and covers like a dream. I’ve even got the orange corrector for my dark circles after using the green one and very happy with that too!,5.0,Kay Beauty,Kay Beauty Colour Corrector Stick,i was very curious to try the corrector on a stick as earlier i had used the liquid one and i have to say that i was super impressed as the application is so easy and this blends and covers like a dream i ve even got the orange corrector for my dark circles after using the green one and very happy with that too,"['i', 'was', 'very', 'curious', 'to', 'try', 'the', 'corrector', 'on', 'a', 'stick', 'as', 'earlier', 'i', 'had', 'used', 'the', 'liquid', 'one', 'and', 'i', 'have', 'to', 'say', 'that', 'i', 'was', 'super', 'impressed', 'as', 'the', 'application', 'is', 'so', 'easy', 'and', 'this', 'blends', 'and', 'covers', 'like', 'a', 'dream', 'i', 've', 'even', 'got', 'the', 'orange', 'corrector', 'for', 'my', 'dark', 'circles', 'after', 'using', 'the', 'green', 'one', 'and', 'very', 'happy', 'with', 'that', 'too']","['curious', 'try', 'corrector', 'stick', 'earlier', 'used', 'liquid', 'one', 'say', 'super', 'impressed', 'application', 'easy', 'blends', 'covers', 'like', 'dream', 'even', 'got', 'orange', 'corrector', 'dark', 'circles', 'using', 'green', 'one', 'happy']","['curious', 'try', 'corrector', 'stick', 'earlier', 'used', 'liquid', 'one', 'say', 'super', 'impressed', 'application', 'easy', 'blend', 'cover', 'like', 'dream', 'even', 'got', 'orange', 'corrector', 'dark', 'circle', 'using', 'green', 'one', 'happy']",curious try corrector stick earlier used liquid one say super impressed application easy blend cover like dream even got orange corrector dark circle using green one happy
"Perfect product. Dries quick, gives an elegant look and it's perfectly opaque. The brush is so fine and easy to handle. I'm in awe with this one. I'm going to buy a lot more Colors in the future. Go for this guys!!",5.0,Lakme,Lakme True Wear Nail Color,perfect product dries quick gives an elegant look and it s perfectly opaque the brush is so fine and easy to handle i m in awe with this one i m going to buy a lot more colors in the future go for this guys,"['perfect', 'product', 'dries', 'quick', 'gives', 'an', 'elegant', 'look', 'and', 'it', 's', 'perfectly', 'opaque', 'the', 'brush', 'is', 'so', 'fine', 'and', 'easy', 'to', 'handle', 'i', 'm', 'in', 'awe', 'with', 'this', 'one', 'i', 'm', 'going', 'to', 'buy', 'a', 'lot', 'more', 'colors', 'in', 'the', 'future', 'go', 'for', 'this', 'guys']","['perfect', 'product', 'dries', 'quick', 'gives', 'elegant', 'look', 'perfectly', 'opaque', 'brush', 'fine', 'easy', 'handle', 'awe', 'one', 'going', 'buy', 'lot', 'colors', 'future', 'go', 'guys']","['perfect', 'product', 'dry', 'quick', 'give', 'elegant', 'look', 'perfectly', 'opaque', 'brush', 'fine', 'easy', 'handle', 'awe', 'one', 'going', 'buy', 'lot', 'color', 'future', 'go', 'guy']",perfect product dry quick give elegant look perfectly opaque brush fine easy handle awe one going buy lot color future go guy
The Best Highlighter I have ever used till date. You need a very little amount and it glides on perfectly. Can be used with both foundation and highlighter or any sunscreen or moisturizer in the day time. It's very long-lasting and dries up very fast. The Shade glazed bronze is a universal shade with all Indian skin tones. Will buy this product again.,5.0,Nykaa Cosmetics,Nykaa Strobe & Glow Liquid Highlighter,the best highlighter i have ever used till date you need a very little amount and it glides on perfectly can be used with both foundation and highlighter or any sunscreen or moisturizer in the day time it s very long lasting and dries up very fast the shade glazed bronze is a universal shade with all indian skin tones will buy this product again,"['the', 'best', 'highlighter', 'i', 'have', 'ever', 'used', 'till', 'date', 'you', 'need', 'a', 'very', 'little', 'amount', 'and', 'it', 'glides', 'on', 'perfectly', 'can', 'be', 'used', 'with', 'both', 'foundation', 'and', 'highlighter', 'or', 'any', 'sunscreen', 'or', 'moisturizer', 'in', 'the', 'day', 'time', 'it', 's', 'very', 'long', 'lasting', 'and', 'dries', 'up', 'very', 'fast', 'the', 'shade', 'glazed', 'bronze', 'is', 'a', 'universal', 'shade', 'with', 'all', 'indian', 'skin', 'tones', 'will', 'buy', 'this', 'product', 'again']","['best', 'highlighter', 'ever', 'used', 'till', 'date', 'need', 'little', 'amount', 'glides', 'perfectly', 'used', 'foundation', 'highlighter', 'sunscreen', 'moisturizer', 'day', 'time', 'long', 'lasting', 'dries', 'fast', 'shade', 'glazed', 'bronze', 'universal', 'shade', 'indian', 'skin', 'tones', 'buy', 'product']","['best', 'highlighter', 'ever', 'used', 'till', 'date', 'need', 'little', 'amount', 'glide', 'perfectly', 'used', 'foundation', 'highlighter', 'sunscreen', 'moisturizer', 'day', 'time', 'long', 'lasting', 'dry', 'fast', 'shade', 'glazed', 'bronze', 'universal', 'shade', 'indian', 'skin', 'tone', 'buy', 'product']",best highlighter ever used till date need little amount glide perfectly used foundation highlighter sunscreen moisturizer day time long lasting dry fast shade glazed bronze universal shade indian skin tone buy product
It’s always in pocket use it everyday ?? Nyka’s macroon lip balm is better than this but if you like lip balm sticks just go for it ??,5.0,Nykaa Cosmetics,Nykaa Serial Kisser Lip Balm - Raspberry,it s always in pocket use it everyday nyka s macroon lip balm is better than this but if you like lip balm sticks just go for it,"['it', 's', 'always', 'in', 'pocket', 'use', 'it', 'everyday', 'nyka', 's', 'macroon', 'lip', 'balm', 'is', 'better', 'than', 'this', 'but', 'if', 'you', 'like', 'lip', 'balm', 'sticks', 'just', 'go', 'for', 'it']","['always', 'pocket', 'use', 'everyday', 'nyka', 'macroon', 'lip', 'balm', 'better', 'like', 'lip', 'balm', 'sticks', 'go']","['always', 'pocket', 'use', 'everyday', 'nyka', 'macroon', 'lip', 'balm', 'better', 'like', 'lip', 'balm', 'stick', 'go']",always pocket use everyday nyka macroon lip balm better like lip balm stick go
"It works well in countering and concealing, it gives your face a beautiful and stunning shape. you gonna love this product so ladies shop this product without any doubt. Love you Nykaa for your amazing product quality and price too.",5.0,Nykaa Cosmetics,Nykaa Contour & Conquer - Contour and Highlight Duo - Sizzle Chisel 01,it works well in countering and concealing it gives your face a beautiful and stunning shape you gonna love this product so ladies shop this product without any doubt love you nykaa for your amazing product quality and price too,"['it', 'works', 'well', 'in', 'countering', 'and', 'concealing', 'it', 'gives', 'your', 'face', 'a', 'beautiful', 'and', 'stunning', 'shape', 'you', 'gon', 'na', 'love', 'this', 'product', 'so', 'ladies', 'shop', 'this', 'product', 'without', 'any', 'doubt', 'love', 'you', 'nykaa', 'for', 'your', 'amazing', 'product', 'quality', 'and', 'price', 'too']","['works', 'well', 'countering', 'concealing', 'gives', 'face', 'beautiful', 'stunning', 'shape', 'gon', 'na', 'love', 'product', 'ladies', 'shop', 'product', 'without', 'doubt', 'love', 'nykaa', 'amazing', 'product', 'quality', 'price']","['work', 'well', 'countering', 'concealing', 'give', 'face', 'beautiful', 'stunning', 'shape', 'gon', 'na', 'love', 'product', 'lady', 'shop', 'product', 'without', 'doubt', 'love', 'nykaa', 'amazing', 'product', 'quality', 'price']",work well countering concealing give face beautiful stunning shape gon na love product lady shop product without doubt love nykaa amazing product quality price
Am in love with this shade ...so so awesome...i recommended for fair skin tones....????,5.0,Maybelline New York,Maybelline New York Color Sensational Satin Lipstick,am in love with this shade so so awesome i recommended for fair skin tones,"['am', 'in', 'love', 'with', 'this', 'shade', 'so', 'so', 'awesome', 'i', 'recommended', 'for', 'fair', 'skin', 'tones']","['love', 'shade', 'awesome', 'recommended', 'fair', 'skin', 'tones']","['love', 'shade', 'awesome', 'recommended', 'fair', 'skin', 'tone']",love shade awesome recommended fair skin tone
It suited my hair quite well. Hair felt smooth and bouncy. Must buy.,5.0,Herbal Essences,Herbal Essences Argan Oil Of Morocco Shampoo - For Frizz Free Hair - Paraben Free,it suited my hair quite well hair felt smooth and bouncy must buy,"['it', 'suited', 'my', 'hair', 'quite', 'well', 'hair', 'felt', 'smooth', 'and', 'bouncy', 'must', 'buy']","['suited', 'hair', 'quite', 'well', 'hair', 'felt', 'smooth', 'bouncy', 'must', 'buy']","['suited', 'hair', 'quite', 'well', 'hair', 'felt', 'smooth', 'bouncy', 'must', 'buy']",suited hair quite well hair felt smooth bouncy must buy
Good,5.0,Lakme,Lakme Enrich Matte Lipstick,good,['good'],['good'],['good'],good
it's a really good bronzy Contour shade for light to medium skin. super creamy and you'll barely notice it's there.,5.0,Nykaa Cosmetics,Nykaa SKINgenius Foundation Stick Conceal Contour & Corrector - Golden Hazelnut 06,it s a really good bronzy contour shade for light to medium skin super creamy and you ll barely notice it s there,"['it', 's', 'a', 'really', 'good', 'bronzy', 'contour', 'shade', 'for', 'light', 'to', 'medium', 'skin', 'super', 'creamy', 'and', 'you', 'll', 'barely', 'notice', 'it', 's', 'there']","['really', 'good', 'bronzy', 'contour', 'shade', 'light', 'medium', 'skin', 'super', 'creamy', 'barely', 'notice']","['really', 'good', 'bronzy', 'contour', 'shade', 'light', 'medium', 'skin', 'super', 'creamy', 'barely', 'notice']",really good bronzy contour shade light medium skin super creamy barely notice
Perfect pastel pink for soft and more feminine look. Suits all skin tones.,5.0,Kay Beauty,Kay Beauty Nail Nourish Nail Enamel Polish,perfect pastel pink for soft and more feminine look suits all skin tones,"['perfect', 'pastel', 'pink', 'for', 'soft', 'and', 'more', 'feminine', 'look', 'suits', 'all', 'skin', 'tones']","['perfect', 'pastel', 'pink', 'soft', 'feminine', 'look', 'suits', 'skin', 'tones']","['perfect', 'pastel', 'pink', 'soft', 'feminine', 'look', 'suit', 'skin', 'tone']",perfect pastel pink soft feminine look suit skin tone
"The best banana powder I ever used, fine powder, it’s so so so good.",5.0,Kay Beauty,Kay Beauty Matte HD Setting Loose Powder,the best banana powder i ever used fine powder it s so so so good,"['the', 'best', 'banana', 'powder', 'i', 'ever', 'used', 'fine', 'powder', 'it', 's', 'so', 'so', 'so', 'good']","['best', 'banana', 'powder', 'ever', 'used', 'fine', 'powder', 'good']","['best', 'banana', 'powder', 'ever', 'used', 'fine', 'powder', 'good']",best banana powder ever used fine powder good
This blush gives a smooth and natural look and it blends easily. This has the right amount of pigment and I love the packaging too.,5.0,Kay Beauty,Kay Beauty Matte Blush,this blush gives a smooth and natural look and it blends easily this has the right amount of pigment and i love the packaging too,"['this', 'blush', 'gives', 'a', 'smooth', 'and', 'natural', 'look', 'and', 'it', 'blends', 'easily', 'this', 'has', 'the', 'right', 'amount', 'of', 'pigment', 'and', 'i', 'love', 'the', 'packaging', 'too']","['blush', 'gives', 'smooth', 'natural', 'look', 'blends', 'easily', 'right', 'amount', 'pigment', 'love', 'packaging']","['blush', 'give', 'smooth', 'natural', 'look', 'blend', 'easily', 'right', 'amount', 'pigment', 'love', 'packaging']",blush give smooth natural look blend easily right amount pigment love packaging
Can't expect immediate results..the whole pack spent on a single spot.,3.0,Nykaa Naturals,Nykaa Skin Secrets Tea Tree & Salicylic Acid Spot Patch,can t expect immediate results the whole pack spent on a single spot,"['can', 't', 'expect', 'immediate', 'results', 'the', 'whole', 'pack', 'spent', 'on', 'a', 'single', 'spot']","['expect', 'immediate', 'results', 'whole', 'pack', 'spent', 'single', 'spot']","['expect', 'immediate', 'result', 'whole', 'pack', 'spent', 'single', 'spot']",expect immediate result whole pack spent single spot
It just really works on dandruff really just try for it awesome one superb,5.0,Nykaa Naturals,Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo,it just really works on dandruff really just try for it awesome one superb,"['it', 'just', 'really', 'works', 'on', 'dandruff', 'really', 'just', 'try', 'for', 'it', 'awesome', 'one', 'superb']","['really', 'works', 'dandruff', 'really', 'try', 'awesome', 'one', 'superb']","['really', 'work', 'dandruff', 'really', 'try', 'awesome', 'one', 'superb']",really work dandruff really try awesome one superb
Packaging and the quality is worth every penny.,5.0,Kay Beauty,Kay Beauty Matte Drama Long Stay Lipstick,packaging and the quality is worth every penny,"['packaging', 'and', 'the', 'quality', 'is', 'worth', 'every', 'penny']","['packaging', 'quality', 'worth', 'every', 'penny']","['packaging', 'quality', 'worth', 'every', 'penny']",packaging quality worth every penny
